Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.1102E-16,2.2204E-16,0.039627,0,0,0,5.5104,0.032533,5.7234E-17,1.7979E-18,0.032533,-4.7415E-18,0.058905,0,0,0,0,0,0,package://assem2/meshes/base_link.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://assem2/meshes/base_link.STL,,Part1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.056315,0.081396,0.0023965,0,0,0,2.2549,0.011608,0.0088797,0.00040169,0.01588,-0.00035105,0.023156,0,0,0,0,0,0,package://assem2/meshes/link1.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://assem2/meshes/link1.STL,,Part2-1,Origin_joint1,Axis_joint1,joint1,continuous,0,0,0.085,1.5708,0,-0.74673,base_link,0,1,0,,,,,,,,,,,,
link2,-0.142663613176583,0.0352229223825857,0.00806022588587538,0,0,0,0.920713555975187,0.00061486733830369,-7.16275973386533E-05,0.000152423363787186,0.0182053007337512,3.03732107580609E-05,0.017861302567327,0,0,0,0,0,0,package://assem2/meshes/link2.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://assem2/meshes/link2.STL,,Part3-1,Origin_joint2,Axis_joint2,joint2,continuous,-0.15,0.16,0,-1.5708,0,-2.4278,link1,0,1,0,,,,,,,,,,,,
link3,-0.0446166902632723,0.0399157420458244,-0.0260371637300619,0,0,0,1.43146473147269,0.00186636943424452,0.000324747082507763,-9.34134620176995E-05,0.00807676480884427,0.00011285860202943,0.0084455456784283,0,0,0,0,0,0,package://assem2/meshes/link3.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://assem2/meshes/link3.STL,,Part4-1,Origin_joint3,Axis_joint3,joint3,continuous,-0.35,0,0,1.5708,-1.0682,-3.1416,link2,0,0,1,,,,,,,,,,,,
link4,-0.104023389652315,1.3429757306227E-10,1.37910349806702E-10,0,0,0,0.581435340015361,0.000596524046931501,3.0180766197839E-12,4.08716975736946E-12,0.00158017082218178,-2.28910193290867E-10,0.0014063461459381,0,0,0,0,0,0,package://assem2/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem2/meshes/link4.STL,,Part5-1,Origin_joint4,Axis_joint4,joint4,continuous,-0.21294,0.045,-0.0275,-0.89378,0,0,link3,1,0,0,,,,,,,,,,,,
link5,-0.00067831823908715,1.11022302462516E-15,0.058961855128781,0,0,0,0.339144547925523,0.000358769992191287,1.35525271560688E-20,-3.56575702010593E-06,0.000355541202477725,-1.28749007982654E-19,0.000248853470602005,0,0,0,0,0,0,package://assem2/meshes/link5.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://assem2/meshes/link5.STL,,Part7-1,Origin_joint5,Axis_joint5,joint5,continuous,-0.14806,0,0,3.0426,1.5708,0,link4,1,0,0,,,,,,,,,,,,
link6,-0.0419966133772153,-1.11022302462516E-16,5.55111512312578E-17,0,0,0,0.0762574810565131,3.99525744954328E-05,-9.52912065661088E-21,-1.86347248395946E-20,3.7955979870062E-05,6.35274710440725E-21,3.20288004196062E-05,0,0,0,0,0,0,package://assem2/meshes/link6.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://assem2/meshes/link6.STL,,Part8-1,Origin_joint6,Axis_joint6,joint6,continuous,-0.0005,0,0.068288,0.68644,1.5708,0,link5,1,0,0,,,,,,,,,,,,
link7,-0.000171695716224329,-0.0477938544830655,-0.0357274171480635,0,0,0,0.0459845756601323,6.09315616899348E-05,-1.06736207403745E-07,-4.5174034570255E-08,1.95971154056262E-05,-2.31066868313526E-05,4.38592111632924E-05,0,0,0,0,0,0,package://assem2/meshes/link7.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://assem2/meshes/link7.STL,,Part9-1,Origin_joint7,Axis_joint7,joint7,continuous,-0.0593436351538184,0,-0.0401317279836453,1.3523308884143,0,1.57079632679489,link6,1,0,0,,,,,,,,,,,,
